sport,league,start_time,home_team,away_team,sportsbook,market,selection,line,american_odds,timestamp
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,theScore Bet,moneyline,Toronto Raptors,,+105,2026-07-02T22:00:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,theScore Bet,moneyline,Boston Celtics,,-125,2026-07-02T22:00:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,FanDuel Ontario,moneyline,Toronto Raptors,,+110,2026-07-02T22:05:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,FanDuel Ontario,moneyline,Boston Celtics,,-130,2026-07-02T22:05:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,DraftKings Ontario,moneyline,Toronto Raptors,,+108,2026-07-02T22:03:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,DraftKings Ontario,moneyline,Boston Celtics,,-128,2026-07-02T22:03:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,Bet365 Ontario,moneyline,Toronto Raptors,,+102,2026-07-02T22:01:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,Bet365 Ontario,moneyline,Boston Celtics,,-122,2026-07-02T22:01:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,BetMGM Ontario,moneyline,Toronto Raptors,,+140,2026-07-02T22:04:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,BetMGM Ontario,moneyline,Boston Celtics,,-135,2026-07-02T22:04:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,Caesars Ontario,moneyline,Toronto Raptors,,+100,2026-07-02T22:02:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,Caesars Ontario,moneyline,Boston Celtics,,-120,2026-07-02T22:02:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,theScore Bet,spread,Toronto Raptors,2.5,-110,2026-07-02T22:00:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,theScore Bet,spread,Boston Celtics,-2.5,-110,2026-07-02T22:00:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,FanDuel Ontario,spread,Toronto Raptors,2.5,-105,2026-07-02T22:05:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,FanDuel Ontario,spread,Boston Celtics,-2.5,-115,2026-07-02T22:05:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,DraftKings Ontario,spread,Toronto Raptors,2.5,+100,2026-07-02T22:03:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,DraftKings Ontario,spread,Boston Celtics,-2.5,-120,2026-07-02T22:03:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,Bet365 Ontario,spread,Toronto Raptors,2.5,-108,2026-07-02T22:01:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,Bet365 Ontario,spread,Boston Celtics,-2.5,-112,2026-07-02T22:01:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,theScore Bet,totals,Over,215.5,-110,2026-07-02T22:00:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,theScore Bet,totals,Under,215.5,-110,2026-07-02T22:00:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,FanDuel Ontario,totals,Over,215.5,-105,2026-07-02T22:05:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,FanDuel Ontario,totals,Under,215.5,-115,2026-07-02T22:05:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,DraftKings Ontario,totals,Over,216.5,+100,2026-07-02T22:03:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,DraftKings Ontario,totals,Under,216.5,-120,2026-07-02T22:03:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,BetMGM Ontario,totals,Over,215.5,-108,2026-07-02T22:04:00
NBA,NBA,2026-07-03T19:30:00,Toronto Raptors,Boston Celtics,BetMGM Ontario,totals,Under,215.5,-112,2026-07-02T22:04:00
